"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","my footprint:ブザー　(mb series)",""
"C1,C10","2","100~220µF","","","","Capacitor_SMD:CP_Elec_6.3x7.7",""
"C2,C3,C4,C6,C8,C11","6","0.1µF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5,C7,C9","3","10µF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C12","1","C","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"D2,D20","2","SMBJ5.0A","","","","Diode_SMD:D_SMB",""
"J1,J3","2","Conn_01x04_Socket","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J2","1","Conn_02x05_Counter_Clockwise","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"J4","1","1-To_Control_Board","","","","Connector_IDC:IDC-Header_2x07_P2.54mm_Vertical",""
"J5","1","Conn_01x02_Socket","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J6","1","To_interconnect_board","","","","Connector_IDC:IDC-Header_2x07_P2.54mm_Vertical",""
"Q1","1","STD30NF06LT4","","","","DPAK_STM","https://www.st.com/resource/en/datasheet/std30nf06lt4.pdf"
"R3","1","220Ω","","","","Resistor_SMD:R_0805_2012Metric",""
"R4","1","10kΩ","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","SW_SPDT","","","","my footprint:基板用トグルスイッチ",""
"U2","1","","","","","my footprint:GREEN BNO055",""
"U3","1","","","","","my footprint:Twelite",""
"U4","1","teensy4.0(breakout board in)","","","","my footprint:teensy40(breakout)",""
"U6","1","","","","","my footprint:communication module",""
"U14","1","","","","","my footprint:BLUE BNO055",""
